activity_date,employee_id,facility_address,facility_city,facility_id,facility_name,facility_state,facility_zip,grade,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id,score,serial_number,service_code,service_description
09-05-17,EE0000593,17660 CHATSWORTH ST,GRANADA HILLS,FA0175397,HOVIK'S FAMOUS MEAT & DELI,CA,91344,A,OW0181955,JOHN'S FAMOUS MEAT & DELI INC.,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,HOVIK'S FAMOUS MEAT & DELI,ACTIVE,PR0168541,98,DAHDRUQZO,1,ROUTINE INSPECTION
10-04-17,EE0000126,3615 PACIFIC COAST HWY,TORRANCE,FA0242138,SHAKEY'S PIZZA,CA,90505,A,OW0237843,"SCO, LLC",RESTAURANT (61-150) SEATS HIGH RISK,1638,SHAKEY'S PIZZA,ACTIVE,PR0190290,94,DAL3SBUE0,1,ROUTINE INSPECTION
04-04-17,EE0000593,17515 CHATSWORTH ST,GRANADA HILLS,FA0007801,BAITH AL HALAL,CA,91344,A,OW0031150,SABIR MOHAMMAD SHAHID,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,BAITH AL HALAL,INACTIVE,PR0036723,95,DAL2PIKJU,1,ROUTINE INSPECTION
15-08-17,EE0000971,44455 VALLEY CENTRAL WAY,LANCASTER,FA0013858,FOOD 4 LESS #306,CA,93536,A,OW0012108,"FOOD 4 LESS, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,FOOD 4 LESS DELI/BAKERY#306,ACTIVE,PR0039905,98,DA0ZMAJXZ,1,ROUTINE INSPECTION
26-09-16,EE0000145,11700 SOUTH ST,ARTESIA,FA0179671,PHO LITTLE SAIGON,CA,90701,A,OW0185167,PHO SOUTH ST INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,PHO LITTLE SAIGON,ACTIVE,PR0173311,96,DA41DBXA2,1,ROUTINE INSPECTION
11-05-16,EE0000720,1309 S HOOVER ST,LOS ANGELES,FA0179745,HAPPY TACOS TO GO,CA,90006-4903,A,OW0185239,MAT L. MORA,RESTAURANT (0-30) SEATS HIGH RISK,1632,HAPPY TACOS TO GO,INACTIVE,PR0173403,96,DAURQTTVR,1,ROUTINE INSPECTION
28-02-17,EE0000741,4959 PATATA ST,CUDAHY,FA0012590,EL POTRERO CLUB,CA,90201,B,OW0036634,"TSAY, SHYR JIN",RESTAURANT (151 + ) SEATS HIGH RISK,1641,EL POTRERO CLUB,ACTIVE,PR0041708,87,DAUNXDSVP,1,ROUTINE INSPECTION
03-11-16,EE0000721,524 S MAIN ST,LOS ANGELES,FA0051633,THE NICKEL DINER,CA,90013,A,OW0004308,"BELLE DU JOUR, INC",RESTAURANT (31-60) SEATS HIGH RISK,1635,THE NICKEL DINER,ACTIVE,PR0000202,96,DAFLSXKZ2,1,ROUTINE INSPECTION
17-02-16,EE0000742,333 W BONITA AVE,CLAREMONT,FA0062434,FULL OF LIFE BAKERY,CA,91711,A,OW0003740,"BAIK, SEOUNG SEOK",RESTAURANT (0-30) SEATS MODERATE RISK,1631,FULL OF LIFE BAKERY,INACTIVE,PR0017727,96,DARSNHKM0,1,ROUTINE INSPECTION
18-04-17,EE0000745,11954 E CARSON ST,HAWAIIAN GARDENS,FA0007900,CARSON LIQUOR,CA,90716,A,OW0019875,"KOO, HE OK ET AL","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,CARSON LIQUOR,ACTIVE,PR0024704,94,DAPAA2DQ3,1,ROUTINE INSPECTION
