CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40511702,NOTARO RESTAURANT,MANHATTAN,635,SECOND AVENUE,10016,2126863400,Italian,06/15/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,30,,,08/28/2017,Cycle Inspection / Initial Inspection
40511702,NOTARO RESTAURANT,MANHATTAN,635,SECOND AVENUE,10016,2126863400,Italian,11/25/2014,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,62,,,08/28/2017,Administrative Miscellaneous / Initial Inspection
50046354,VITE BAR,QUEENS,2507,BROADWAY,11106,3478134702,Italian,10-03-16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,,,08/28/2017,Pre-permit (Operational) / Initial Inspection
50061389,TACK'S CHINESE TAKE OUT,STATEN ISLAND,11C,HOLDEN BLVD,10314,7189839854,Chinese,05/17/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,46,,,08/28/2017,Pre-permit (Operational) / Initial Inspection
41516263,NO QUARTER,BROOKLYN,8015,5 AVENUE,11209,7187019180,American,03/30/2017,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,18,,,08/28/2017,Cycle Inspection / Initial Inspection
50015855,KABAB HOUSE NYC,QUEENS,4339,MAIN ST,11355,9172852796,Pakistani,03-03-15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19,,,08/28/2017,Pre-permit (Operational) / Compliance Inspection
50058069,HENRI'S BACKYARD,BROOKLYN,256,4TH AVE,11215,9293378443,American,06/22/2017,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,39,C,06/22/2017,08/28/2017,Pre-permit (Operational) / Re-inspection
40807238,RICHMOND COUNTY COUNTRY CLUB,STATEN ISLAND,1122,TODT HILL ROAD,10304,7183510600,American,06/14/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,06/14/2017,08/28/2017,Cycle Inspection / Initial Inspection
41547684,PLANET WINGS,STATEN ISLAND,480,FOREST AVENUE,10310,7187209464,American,03-10-15,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,28,,,08/28/2017,Cycle Inspection / Initial Inspection
40376944,TOMOE SUSHI,MANHATTAN,172,THOMPSON STREET,10012,2127779346,Japanese,10-06-15,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,13,A,10-06-15,08/28/2017,Cycle Inspection / Re-inspection
40560896,YAKITORI TAISHO,MANHATTAN,5,ST MARKS PLACE,10003,2122285086,Japanese,08/13/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,,,08/28/2017,Cycle Inspection / Initial Inspection
41696945,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,QUEENS,13858,FRANCIS LEWIS BOULEVARD,11422,7183412011,Caribbean,10/14/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,24,,,08/28/2017,Cycle Inspection / Initial Inspection
41701178,CRAB SPOT RESTAURANT,BROOKLYN,833,UNION STREET,11215,7186222722,Seafood,07/28/2016,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,12,A,40570634,AN BEAL BOCHT CAFE,BRONX
41552184,NOM WAH TEA/DIM SUM PALOR,MANHATTAN,13,DOYERS STREET,10013,2129626047,Chinese,09-02-14,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,18,B,09-02-14,08/28/2017,Cycle Inspection / Re-inspection
41696159,LUIGI'S PIZZA & PASTA,BRONX,119,EAST MOUNT EDEN AVENUE,10452,7182941800,Pizza,10/27/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,10/27/2014,08/28/2017,Cycle Inspection / Re-inspection
50000705,ANARKALI INDIAN FOOD,BROOKLYN,1125,CHURCH AVE,11218,7182822200,Indian,06/25/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,31,,,08/28/2017,Cycle Inspection / Initial Inspection
41575449,MIDNIGHT EXPRESS,MANHATTAN,1715,2 AVENUE,10128,2128602320,American,12/19/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,25,,,08/28/2017,Cycle Inspection / Initial Inspection
41690659,NEW PANDA GARDEN,QUEENS,5917,ROOSEVELT AVENUE,11377,7184241038,Chinese,08/28/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,28,,,08/28/2017,Cycle Inspection / Initial Inspection
50018449,SPRING FISH VILLAGE,QUEENS,13621,41ST AVE,11355,7189393633,Chinese,03/21/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19,,,08/28/2017,Cycle Inspection / Initial Inspection
41611667,SERVICE BAR 7,QUEENS,11000,ROCKAWAY BOULEVARD,11420,6465881074,American,04-07-16,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,04-07-16,08/28/2017,Cycle Inspection / Initial Inspection
41006018,THE FIVE SPOT,BROOKLYN,459,MYRTLE AVENUE,11205,7188520202,Soul Food,05-12-16,Violations were cited in the following area(s).,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",Critical,16,,,08/28/2017,Cycle Inspection / Initial Inspection
50017063,MEZQUITE,QUEENS,4506,30TH AVE,11103,7182551722,Mexican,01/31/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,17,,,08/28/2017,Cycle Inspection / Initial Inspection
40743578,EL RUMBERO BAR RESTAURANT,QUEENS,8205,NORTHERN BOULEVARD,11372,7188033125,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",06/16/2017,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,10,,,08/28/2017,Cycle Inspection / Initial Inspection
