business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
10,Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,37.791116,-122.403816,"(37.791116, -122.403816)",,10_20140114,01/14/2014 12:00:00 AM,92,Routine - Unscheduled,10_20140114_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
10,Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,37.791116,-122.403816,"(37.791116, -122.403816)",,10_20140114,01/14/2014 12:00:00 AM,92,Routine - Unscheduled,10_20140114_103145,Improper storage of equipment utensils or linens,Low Risk
10,Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,37.791116,-122.403816,"(37.791116, -122.403816)",,10_20140114,01/14/2014 12:00:00 AM,92,Routine - Unscheduled,10_20140114_103154,Unclean or degraded floors walls or ceilings,Low Risk
10,Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,37.791116,-122.403816,"(37.791116, -122.403816)",,10_20140729,07/29/2014 12:00:00 AM,94,Routine - Unscheduled,10_20140729_103144,Unapproved or unmaintained equipment or utensils,Low Risk
10,Tiramisu Kitchen,033 Belden Pl,San Francisco,CA,94104,37.791116,-122.403816,"(37.791116, -122.403816)",,10_20140729,07/29/2014 12:00:00 AM,94,Routine - Unscheduled,10_20140729_103129,Insufficient hot water or running water,Moderate Risk
4864,DRAGON CITY BAKERY & CAFE,2367 MISSION St,San Francisco,CA,94110,37.759174,-122.419066,"(37.759174, -122.419066)",14155829718,4864_20161206,12-06-16 0:00,84,Routine - Unscheduled,4864_20161206_103157,Food safety certificate or food handler card not available,Low Risk
79782,Deli 23,2449 23rd St,San Francisco,CA,94110,,,,,79782_20160503,05-03-16 0:00,92,Routine - Unscheduled,79782_20160503_103120,Moderate risk food holding temperature,Moderate Risk
76437,Sweetheart Cafe,909 Grant Ave,San Francisco,CA,94108,,,,,76437_20160329,03/29/2016 12:00:00 AM,76,Routine - Unscheduled,76437_20160329_103113,Sewage or wastewater contamination,High Risk
5813,LICK MIDDLE SCHOOL,1220 Noe St,San Francisco,CA,94114,37.74949,-122.43175,"(37.74949, -122.43175)",14155816139,5813_20140908,09-08-14 0:00,100,Routine - Unscheduled,,,
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",San Francisco,CA,94109,37.786848,-122.421547,"(37.786848, -122.421547)",,19_20140214,02/14/2014 12:00:00 AM,94,Routine - Unscheduled,19_20140214_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",San Francisco,CA,94109,37.786848,-122.421547,"(37.786848, -122.421547)",,19_20140214,02/14/2014 12:00:00 AM,94,Routine - Unscheduled,19_20140214_103156,Permit license or inspection report not posted,Low Risk
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",San Francisco,CA,94109,37.786848,-122.421547,"(37.786848, -122.421547)",,19_20141110,11-10-14 0:00,94,Routine - Unscheduled,19_20141110_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
19,Nrgize Lifestyle Cafe,"1200 Van Ness Ave, 3rd Floor",San Francisco,CA,94109,37.786848,-122.421547,"(37.786848, -122.421547)",,19_20141110,11-10-14 0:00,94,Routine - Unscheduled,19_20141110_103145,Improper storage of equipment utensils or linens,Low Risk
24,OMNI S.F. Hotel - 2nd Floor Pantry,"500 California St, 2nd  Floor",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,24_20140612,06-12-14 0:00,96,Routine - Unscheduled,24_20140612_103145,Improper storage of equipment utensils or linens,Low Risk
24,OMNI S.F. Hotel - 2nd Floor Pantry,"500 California St, 2nd  Floor",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,24_20140612,06-12-14 0:00,96,Routine - Unscheduled,24_20140612_103156,Permit license or inspection report not posted,Low Risk
24,OMNI S.F. Hotel - 2nd Floor Pantry,"500 California St, 2nd  Floor",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,24_20141124,11/24/2014 12:00:00 AM,96,Routine - Unscheduled,24_20141124_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
38929,Jelly Donut,3198 24th St,San Francisco,CA,94110,37.752439,-122.41625,"(37.752439, -122.41625)",,38929_20160114,01/14/2016 12:00:00 AM,88,Routine - Unscheduled,38929_20160114_103139,Improper food storage,Low Risk
81161,Limon Peruvian Rotisserie,1001 South Van Ness Ave,San Francisco,CA,94110,,,,14155548833,81161_20160325,03/25/2016 12:00:00 AM,92,Routine - Unscheduled,81161_20160325_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
85781,Domino's #7764,876 Geary St,San Francisco,CA,94109,,,,,85781_20160311,03-11-16 0:00,86,Routine - Unscheduled,85781_20160311_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
82880,Don Pablo,Off The Grid,San Francisco,CA,,,,,,82880_20160309,03-09-16 0:00,10,Structural Inspection,82880_20160309_103148,No thermometers or uncalibrated thermometers,Low Risk
89072,Epicurean at Sacred Heart Catholic Prep School,1055 Ellis St,San Francisco,CA,94109,,,,,89072_20161018,10/18/2016 12:00:00 AM,10,Reinspection/Followup,,,
16441,Hawaiian Drive Inn,2600 San Bruno Ave,San Francisco,CA,94134,37.728718,-122.404101,"(37.728718, -122.404101)",,16441_20161206,12-06-16 0:00,82,Routine - Unscheduled,16441_20161206_103154,Unclean or degraded floors walls or ceilings,Low Risk
6348,Castro Street Chevron,2399 Market St,San Francisco,CA,94114,37.762857,-122.434755,"(37.762857, -122.434755)",14155622570,6348_20151224,12/24/2015 12:00:00 AM,100,Routine - Unscheduled,,,
2716,RED A BAKERY,634 CLEMENT St,San Francisco,CA,94118,37.782888,-122.466101,"(37.782888, -122.466101)",,2716_20160323,03/23/2016 12:00:00 AM,57,Routine - Unscheduled,2716_20160323_103131,Moderate risk vermin infestation,Moderate Risk
83589,City Pizza and Burger Inc.,464 Broadway St,San Francisco,CA,94133,,,,,83589_20151013,10/13/2015 12:00:00 AM,70,Routine - Unscheduled,83589_20151013_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
5813,LICK MIDDLE SCHOOL,1220 Noe St,San Francisco,CA,94114,37.74949,-122.43175,"(37.74949, -122.43175)",14155816139,5813_20140226,02/26/2014 12:00:00 AM,93,Routine - Unscheduled,5813_20140226_103113,Sewage or wastewater contamination,High Risk
64380,Michael Mina Restaurant,252 California St,San Francisco,CA,94111,37.793338,-122.399583,"(37.793338, -122.399583)",14155350791,64380_20160414,04/14/2016 12:00:00 AM,86,Routine - Unscheduled,64380_20160414_103154,Unclean or degraded floors walls or ceilings,Low Risk
3594,CELIAS RESTAURANT,4019 JUDAH St,San Francisco,CA,94122,37.760423,-122.505209,"(37.760423, -122.505209)",,3594_20160330,03/30/2016 12:00:00 AM,88,Routine - Unscheduled,3594_20160330_103133,Foods not protected from contamination,Moderate Risk
87486,Flour Craft Bakery,244 Clement St,San Francisco,CA,94118,,,,14155389180,87486_20161002,10-02-16 0:00,100,Routine - Unscheduled,,,
5623,AT&T - DOGGIE DINNER Room 5310 [145153],24 5624 Pl,San Francisco,CA,94107,37.778382,-122.391151,"(37.778382, -122.391151)",14155971500,5623_20160814,08/14/2016 12:00:00 AM,100,Routine - Unscheduled,,,
