Name,Program Identifier,Inspection Date,Description,Address,City,Zip Code,Phone,Longitude,Latitude,Inspection Business Name,Inspection Type,Inspection Score,Inspection Result,Inspection Closed Business,Violation Type,Violation Description,Violation Points,Business_ID,Inspection_Serial_Num,Violation_Record_ID,Grade
#7064 ARCO AM/PM,#7064 ARCO AM/PM,02-08-18,Seating 0-12 - Risk Category III,3648 AUBURN WAY N,AUBURN,98002,(916) 295-2150,-122.2216249,47.33970715,#7064 ARCO AM/PM,Routine Inspection/Field Review,0,Satisfactory,FALSE,,,0,PR0085379,DAG2VJOPC,,1
"@ THE SHACK, LLC",SHACK COFFEE,04-02-18,Seating 0-12 - Risk Category II,2920 SW AVALON WAY ,Seattle,98126,(206) 938-5665,-122.3709135,47.5704254,"@ THE SHACK, LLC",Consultation/Education - Field,0,Complete,FALSE,,,0,PR0048053,DA34JMIOR,,1
"@ THE SHACK, LLC",SHACK COFFEE,07/27/2017,Seating 0-12 - Risk Category II,2920 SW AVALON WAY ,Seattle,98126,(206) 938-5665,-122.3709135,47.5704254,"@ THE SHACK, LLC",Routine Inspection/Field Review,0,Satisfactory,FALSE,,,0,PR0048053,DADNXR5VS,,1
"@ THE SHACK, LLC",SHACK COFFEE,06/16/2017,Seating 0-12 - Risk Category II,2920 SW AVALON WAY ,Seattle,98126,(206) 938-5665,-122.3709135,47.5704254,"@ THE SHACK, LLC",Routine Inspection/Field Review,0,Satisfactory,FALSE,,,0,PR0048053,DABZPHHC2,,1
100 LB CLAM,100 LB CLAM,07/24/2017,Seating 0-12 - Risk Category III,1001 FAIRVIEW AVE N Unit 1700A,SEATTLE,98109,(206) 369-2978,-122.3317269,47.62902129,100 LB CLAM,Routine Inspection/Field Review,25,Unsatisfactory,FALSE,BLUE,"3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,PR0085848,DAYYFZ1IJ,IV7PVOPQG,3
100 LB CLAM,100 LB CLAM,07/24/2017,Seating 0-12 - Risk Category III,1001 FAIRVIEW AVE N Unit 1700A,SEATTLE,98109,(206) 369-2978,-122.3317269,47.62902129,100 LB CLAM,Routine Inspection/Field Review,25,Unsatisfactory,FALSE,RED,0600 - Adequate handwashing facilities,10,PR0085848,DAYYFZ1IJ,IVMPY7TUR,3
100 LB CLAM,100 LB CLAM,07/24/2017,Seating 0-12 - Risk Category III,1001 FAIRVIEW AVE N Unit 1700A,SEATTLE,98109,(206) 369-2978,-122.3317269,47.62902129,100 LB CLAM,Routine Inspection/Field Review,25,Unsatisfactory,FALSE,RED,2300 - Proper Consumer Advisory posted for raw ...,5,PR0085848,DAYYFZ1IJ,IVAC0YBVN,3
100 LB CLAM,100 LB CLAM,07/24/2017,Seating 0-12 - Risk Category III,1001 FAIRVIEW AVE N Unit 1700A,SEATTLE,98109,(206) 369-2978,-122.3317269,47.62902129,100 LB CLAM,Routine Inspection/Field Review,25,Unsatisfactory,FALSE,RED,0200 - Food Worker Cards current for all food workers; new food workers trained,5,PR0085848,DAYYFZ1IJ,IVYAWAZOU,3
100 LB CLAM,100 LB CLAM,07-06-17,Seating 0-12 - Risk Category III,1001 FAIRVIEW AVE N Unit 1700A,SEATTLE,98109,(206) 369-2978,-122.3317269,47.62902129,100 LB CLAM,Consultation/Education - Field,0,Complete,FALSE,,,0,PR0085848,DAGAQCC6K,,3
100 LB CLAM,100 LB CLAM,08/31/2016,Seating 0-12 - Risk Category III,1001 FAIRVIEW AVE N Unit 1700A,SEATTLE,98109,(206) 369-2978,-122.3317269,47.62902129,100 LB CLAM,Consultation/Education - Field,0,Complete,FALSE,,,0,PR0085848,DAAVWBEAA,,3
1000 SPIRITS,1000 SPIRITS,01/26/2018,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.338223,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,5,Satisfactory,FALSE,BLUE,"3200 - Insects, rodents, animals not present; entrance controlled.",5,PR0082813,DAHSOTFXJ,IVYRIN6WT,2
1000 SPIRITS,1000 SPIRITS,01-03-17,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.338223,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,0,Satisfactory,FALSE,,,0,PR0082813,DAHYHXWBZ,,2
1000 SPIRITS,1000 SPIRITS,05-03-16,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.338223,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,32,Unsatisfactory,FALSE,BLUE,"4800 - Physical facilities properly installed,...",2,PR0082813,DAEHYT8TR,IVNVWFZWM,2
1000 SPIRITS,1000 SPIRITS,05-03-16,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.338223,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,32,Unsatisfactory,FALSE,BLUE,"3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,PR0082813,DAEHYT8TR,IVCT0GMZJ,2
1000 SPIRITS,1000 SPIRITS,05-03-16,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.338223,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,32,Unsatisfactory,FALSE,RED,0500 - Proper barriers used to prevent bare hand contact with ready to eat foods.,25,PR0082813,DAEHYT8TR,IVQMRXQ1Y,2
1000 SPIRITS,1000 SPIRITS,04-07-15,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.338223,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,25,Unsatisfactory,FALSE,RED,1900 - No room temperature storage; proper use of time...,25,PR0082813,DAX00B8DM,IVW7SDSB0,2
1000 SPIRITS,1000 SPIRITS,01/14/2015,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.338223,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,70,Unsatisfactory,FALSE,BLUE,"3200 - Insects, rodents, animals not present; entrance controlled.",5,PR0082813,DA1PEZKID,IVXYJZ6FV,2
1000 SPIRITS,1000 SPIRITS,01/14/2015,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.338223,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,70,Unsatisfactory,FALSE,RED,0500 - Proper barriers used to prevent bare hand contact with ready to eat foods.,25,PR0082813,DA1PEZKID,IVVHGJEQH,2
1000 SPIRITS,1000 SPIRITS,01/14/2015,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.338223,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,70,Unsatisfactory,FALSE,RED,2300 - Proper Consumer Advisory posted for raw ...,5,PR0082813,DA1PEZKID,IV2ILDEKM,2
11TH AVENUE INN,11TH AVENUE INN,03/14/2013,Bed and Breakfast - Risk Category I,121 11TH AVE E ,SEATTLE,98102,,-122.3185139,47.61945413,11TH AVENUE INN,Routine Inspection/Field Review,0,Satisfactory,FALSE,,,0,PR0071293,DAVESYRCK,,
1000 SPIRITS,1000 SPIRITS,01/14/2015,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.338223,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,70,Unsatisfactory,FALSE,RED,0600 - Adequate handwashing facilities,10,PR0082813,DA1PEZKID,IVGLR9KOQ,2
1000 SPIRITS,1000 SPIRITS,01/14/2015,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.338223,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,70,Unsatisfactory,FALSE,RED,0400 - Hands washed as required,25,PR0082813,DA1PEZKID,IVKXLANLV,2
1000 SPIRITS,1000 SPIRITS,02-11-14,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.338223,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,0,Satisfactory,FALSE,,,0,PR0082813,DAEP0JDOR,,2
1000 SPIRITS,1000 SPIRITS,10/17/2013,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.338223,47.60653938,1000 SPIRITS,Consultation/Education - Field,0,Complete,FALSE,,,0,PR0082813,DA2472199,,2
1000 SPIRITS,1000 SPIRITS,03-05-13,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.338223,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,0,Satisfactory,FALSE,,,0,PR0082813,DA2421588,,2
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,04-11-18,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,10,Unsatisfactory,FALSE,BLUE,"3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,PR0071992,DASYY9YKO,IVNW34UFU,2
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,04-11-18,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,10,Unsatisfactory,FALSE,RED,2200 - Accurate thermometer provided and used ...,5,PR0071992,DASYY9YKO,IVMP8Y9PN,2
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,11-06-17,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Consultation/Education - Field,0,Complete,FALSE,,,0,PR0071992,DA2758089,,2
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,09/20/2016,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,15,Unsatisfactory,FALSE,BLUE,"4200 - Food-contact surfaces maintained, clean, sanitized",5,PR0071992,DA85B603B,IV0TV6HMW,2
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,09/20/2016,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,15,Unsatisfactory,FALSE,RED,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0071992,DA85B603B,IVOKI1U2Q,2
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,02/25/2016,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,5,Satisfactory,FALSE,BLUE,"4100 - Warewashing facilities properly installed,...",5,PR0071992,DAO4F1HGE,IVSSORTEW,2
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,08/28/2015,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Consultation/Education - Field,0,Complete,FALSE,,,0,PR0071992,DAIQ0PJIG,,2
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,02/19/2015,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,15,Unsatisfactory,FALSE,BLUE,"4100 - Warewashing facilities properly installed,...",5,PR0071992,DABZCT0D9,IVA17E1NK,2
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,02/19/2015,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,15,Unsatisfactory,FALSE,RED,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0071992,DABZCT0D9,IVY00410J,2
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,09/30/2014,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,10,Satisfactory,FALSE,BLUE,"4100 - Warewashing facilities properly installed,...",5,PR0071992,DAVE0XA8E,IVZBLK7ON,2
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,09/30/2014,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,10,Satisfactory,FALSE,BLUE,2900 - Adequate equipment for temperature control,5,PR0071992,DAVE0XA8E,IV8HW0E1O,2
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,05/22/2014,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,30,Unsatisfactory,FALSE,BLUE,"4100 - Warewashing facilities properly installed,...",5,PR0071992,DAGUPCZB9,IVP9YBT6A,2
